[21:07:22] [main/INFO]: ModLauncher running: args [--username, FemboyVastly, --version, forge-47.4.1, --gameDir, C:\Users\HP\curseforge\minecraft\Instances\The Old, --assetsDir, C:\Users\HP\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 6d1d3b13f09c4989bf658500bf7a7f2e, --accessToken, ????????, --clientId, Y2E4MDBkMWYtMjNhYy00YTE4LWI4YjgtMzE1MzYyZGZhMDEy, --xuid, 2535451751998302, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\HP\curseforge\minecraft\Install\quickPlay\java\1749668838449.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.1, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[21:07:22] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 11 arch amd64 version 10.0
[21:07:27] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file connectedglass-1.1.13-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Corgilib-Forge-1.20.1-4.0.3.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file CreativeCore_FORGE_v2.12.32_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file cristellib-1.1.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file danger_close-merged-1.20.1-3.1.3.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Data_Anchor-forge-1.20.1-1.0.0.19.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file DistantFriends-forge-1.20.1-0.5.5.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file DripSounds-1.19.4-0.3.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file EasyAnvils-v8.0.2-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file EasyMagic-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file EnhancedVisuals_FORGE_v1.8.2_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file entity_model_features_forge_1.20.1-2.4.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file entity_sound_features_forge_1.19.4+-0.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file entity_texture_features_forge_1.20.1-6.2.9.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file entityculling-forge-1.7.4-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file exlinefishing-v1.0.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file explorations-forge-1.20.1-1.6.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file fallingleaves-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file fancymenu_forge_3.5.2_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.8.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file FastFurnace-1.20.1-8.0.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file FastLeafDecay-32.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file fastpaintings-1.20-1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file FastSuite-1.20.1-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file FastWorkbench-1.20.1-8.0.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file feur_extension_desert-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file feur_extension_fossil-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file firstaid-1.20.1-1.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file firstperson-forge-2.4.9-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Fog-forge-1.5.3-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file forge_soundattract_1.20.1-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file fusion-1.2.7b-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file fzzy_config-0.7.0+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file gamemenuremovegfarb-forge-mc1.19.4-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.7.1.3.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file GlitchCore-forge-1.20.1-0.0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Highlighter-1.20.1-forge-1.1.9.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file hyperversebackrooms-1.0.5-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Iceberg-1.20.1-forge-1.1.25.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file illuminations-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.5.0+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file immersivelanterns-forge-1.0.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file immersivetoolsweaponssounds-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file in_your_world-1.20.1-2.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file incontrol-1.20-9.3.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file kotlinforforge-4.11.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.16.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file LegendaryTooltips-1.20.1-forge-1.4.5.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Log-Begone-Forge-1.20.1-1.0.8.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file lostcities-1.20-7.3.6.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file make_bubbles_pop-0.3.0-forge-mc1.19.4-1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file map_atlases-1.20-6.0.16.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file melody_forge_1.0.3_MC_1.20.1-1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file modelfix-1.15.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file moderner-beta-2.1.8+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file modernfix-forge-5.23.1+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file monolib-forge-1.20.1-2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file moonlight-1.20-2.14.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file MouseTweaks-forge-mc1.20.1-2.25.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file MRU-1.0.4+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file naturalist-5.0pre2+forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nebulus_cherryblossom_tree-2.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nebulus_giant_birch_tree-2.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nebulus_giant_jungle_tree-2.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nebulus_starter_house-1.0.0-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nebulusbetterportals-1.0.8-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file NebulusOakTree+M.1.20.1+ForM.2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file NebulusSpruceTree+M.1.20.1+ForM.2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nemos-inventory-sorting-Forge-1.20.1-1.8.2-all.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file no_resource_pack_warnings_forge-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file NoChatReports-FORGE-1.20.1-v2.2.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nocube's_better_blast_furnace_1.0.1_Forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nocube's_better_grindstone_1.0.1_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nocubes_better_fletching_table_1.0.1_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file noisium-forge-2.3.0+mc1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file NoSeeNoTick-2.0.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file notenoughanimations-forge-1.9.3-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file notreepunching-forge-1.20-7.1.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file nutritionalbalance-1.20-5.1.3.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file oculus-mc1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file OpenLoader-Forge-1.20.1-19.0.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file OverflowingBars-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Pale_Hound-1.20.1-1.10.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file particle_core-0.2.6+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Patchouli-1.20.1-84.1-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file physics-mod-3.0.14-mc-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file PickUpNotifier-v8.0.0-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Placebo-1.20.1-8.6.3.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2-rc1+1.20.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file polymorph-forge-0.49.10+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file PresenceFootsteps-1.20.1-1.9.1-beta.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Prism-1.20.1-forge-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file probejs-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file PuzzlesLib-v8.1.32-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file realisticbees-1.20.1-4.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file RealisticTorches-1.20.1-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file rhino-forge-2001.2.3-build.10.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file riverredux-0.3.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file sanitydim-mc1.20-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file SanityJS-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Scopophobia Reimagined - BetaV4 1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Searchables-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file servercore-forge-1.5.2+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
